ER25001,ER25002,ER25003,ER25004,ER27442,ER27451,ER27708,ER28037,ER36001,ER36002,ER36003,ER36004,ER40614,ER40622,ER41027,ER42001,ER42002,ER42003,ER42004,ER46592,ER46600,ER46935,ER47301,ER47302,ER47303,ER47304,ER51953,ER51961,ER52046,ER52343,ER53001,ER53002,ER53003,ER53004,ER57709,ER57730,ER58152,ER60001,ER60002,ER60003,ER60004,ER64869,ER64910,ER65349,ER66001,ER66002,ER66003,ER66004,ER70941,ER71042,ER71064,ER71426,ER72001,ER72002,ER72003,ER72004,ER76960,ER77064,ER77086,ER77448,ER78001,ER78002,ER78003,ER78004,ER81188,ER81340,ER81422,ER81775
7,6528,32,37,8,1200,2,53484,8,6733,32,37,8,0,39500,6,6827,32,37,8,50,27000,6,8800,32,37,8,60,2,19761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,819,32,37,8,7800,3,146990,8,6905,32,37,8,9000,138300,6,4256,32,37,8,9000,147818,6,4144,32,37,8,16000,2,162925,4,6082,32,37,8,15000,172040,2,5006,32,37,8,12000,164550,3,1510,32,37,8,15000,2,179500,1,2922,32,37,6,9000,3,178438,2,1220,32,37,6,7149,15,195300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7423,32,37,8,0,16735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1566,32,37,99,0,60,52847,1,3136,32,37,14,0,2,57986,2,1362,32,37,14,0,0,110000
7,644,4,6,8,0,0,28800,8,1005,4,6,8,0,26988,6,258,4,6,8,0,33915,6,139,4,6,8,0,0,52420,4,208,4,6,8,0,26425,2,1264,4,6,8,0,16573,3,214,4,6,8,0,0,16050,,,,,,,,,,,,,,,,
7,1072,4,6,0,0,0,64000,8,667,4,6,0,0,63398,6,371,4,6,0,0,42514,6,30,4,6,0,0,0,34780,4,155,4,6,0,0,33673,2,187,4,6,0,0,44093,3,503,4,6,0,0,0,23730,1,649,4,6,1,0,0,50433,2,289,4,6,1,0,0,44227
7,29,50,2,1,0,0,24316,8,436,50,2,1,0,31245,6,7,50,2,1,0,34134,6,3225,50,2,1,0,0,24288,4,177,50,2,1,0,28872,2,431,50,2,1,0,21471,3,3808,50,2,1,0,0,23301,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,3979,50,2,99,0,1,118280,4,1002,50,2,99,0,26200,2,2072,50,2,99,0,21515,3,3820,50,2,99,0,0,29400,1,1903,50,2,14,0,3,28740,2,7550,50,2,14,0,0,21376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6113,50,2,0,0,172600,,,,,,,,,,,,,,,,,,,,,,,,
7,234,50,2,0,0,0,15900,8,2121,50,2,0,0,16500,6,1062,50,2,0,0,4751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
